region,type,asin,title,author,narrator,genre,categories,tags,length_hours,rating,rating_count,price,regular_price,cover_url,audible_url
us,monthly,B0868ZFF7X,Breaking the Habit of Being Yourself,Joe Dispenza,Adam Boyce,"Relationships, Parenting & Personal Development","Relationships, Parenting & Personal Development; Personal Development; Personal Success; Religion & Spirituality; Spirituality; New Thought",,10.8,4.7,5901,5.99,20.37,https://m.media-amazon.com/images/I/51RRcIBg93L._SL500_.jpg,https://www.audible.com/pd/B0868ZFF7X
us,monthly,B0773W3MZW,The Woman in the Window,A. J. Finn,Ann Marie Lee,"Mystery, Thriller & Suspense","Mystery, Thriller & Suspense; Thriller & Suspense; Crime Thrillers; Psychological; Suspense",,13.7,4.1,31730,7.99,29.69,https://m.media-amazon.com/images/I/5177BkBe6IL._SL500_.jpg,https://www.audible.com/pd/B0773W3MZW
us,monthly,B0DNNM3KN4,We Are All Guilty Here,Karin Slaughter,Kathleen Early,"Mystery, Thriller & Suspense","Mystery, Thriller & Suspense; Crime Fiction; Mystery; Police Procedurals; Women Sleuths; Thriller & Suspense; Psychological; Suspense",,16.6,4.7,12552,6.99,35.99,https://m.media-amazon.com/images/I/41RgahYXvXL._SL500_.jpg,https://www.audible.com/pd/B0DNNM3KN4
us,monthly,B07BGGTGBQ,Calypso,David Sedaris,David Sedaris,Biographies & Memoirs,"Biographies & Memoirs; Entertainment & Celebrities; Relationships, Parenting & Personal Development; Parenting & Families; Siblings; Comedy & Humor; Literature & Fiction",storytelling,6.7,4.6,22420,6.99,22.49,https://m.media-amazon.com/images/I/41icntFtrZL._SL500_.jpg,https://www.audible.com/pd/B07BGGTGBQ
us,monthly,B00JFF4WMS,The Girl with All the Gifts,M. R. Carey,Finty Williams,Literature & Fiction,"Literature & Fiction; Action & Adventure; Mystery, Thriller & Suspense; Thriller & Suspense; Supernatural; Science Fiction & Fantasy; Science Fiction; Adventure; Dystopian; Post-Apocalyptic",,13.1,4.4,39785,7.99,28.79,https://m.media-amazon.com/images/I/41zRrzqD1fL._SL500_.jpg,https://www.audible.com/pd/B00JFF4WMS
us,monthly,B0C6FPMDGV,Starter Villain,John Scalzi,Wil Wheaton,Science Fiction & Fantasy,Science Fiction & Fantasy; Fantasy; Superhero; Science Fiction; Adventure,Literature & Fiction,8.1,4.6,14699,5.99,18.8,https://m.media-amazon.com/images/I/513hdsLOrbL._SL500_.jpg,https://www.audible.com/pd/B0C6FPMDGV
us,monthly,B002V1O3MM,The Art of Racing in the Rain,Garth Stein,Christopher Evan Welch,Literature & Fiction,Literature & Fiction; Genre Fiction; Animals; Contemporary Fiction; Family Life; Literary Fiction,contemporary,6.9,4.6,22802,5.99,21.59,https://m.media-amazon.com/images/I/51M3qWsy1uL._SL500_.jpg,https://www.audible.com/pd/B002V1O3MM
us,monthly,B00FJJFO1C,The Everything Store,Brad Stone,Pete Larkin,Biographies & Memoirs,Biographies & Memoirs; Professionals & Academics; Business; Business & Careers; Business Development & Entrepreneurship; Entrepreneurship; Money & Finance; E-Commerce,,13.0,4.5,15885,7.99,28.79,https://m.media-amazon.com/images/I/51ULBoVSTcL._SL500_.jpg,https://www.audible.com/pd/B00FJJFO1C
us,monthly,B0067QRF8Q,The Ramona Quimby Audio Collection,Beverly Cleary,Stockard Channing,Children's Audiobooks,Children's Audiobooks; Growing Up & Facts of Life; Literature & Fiction; Chapter Books & Readers; Chapter Books; Fiction; Family Life; Humorous Fiction,,18.9,4.7,4875,6.99,35.99,https://m.media-amazon.com/images/I/51IOi3hkQsL._SL500_.jpg,https://www.audible.com/pd/B0067QRF8Q
us,monthly,B014JWSCWW,See Me,Nicholas Sparks,Christopher Ryan Grant,Literature & Fiction,"Literature & Fiction; Genre Fiction; Family Life; Women's Fiction; Mystery, Thriller & Suspense; Thriller & Suspense; Suspense; Romance; Contemporary; Romantic Suspense",,14.4,4.6,15938,7.99,28.79,https://m.media-amazon.com/images/I/51vtol1JbiL._SL500_.jpg,https://www.audible.com/pd/B014JWSCWW
us,monthly,B01I28NTJU,Hidden Figures,Margot Lee Shetterly,Robin Miles,Biographies & Memoirs,Biographies & Memoirs; Cultural & Regional; History; Americas; United States; Black & African American; Politics & Social Sciences; Social Sciences; Specific Demographics; African American Studies; Science & Engineering; Science,,10.8,4.3,9678,7.99,31.49,https://m.media-amazon.com/images/I/61sO7vg5olL._SL500_.jpg,https://www.audible.com/pd/B01I28NTJU
us,monthly,B079G683TB,"Own the Day, Own Your Life",Aubrey Marcus,Aubrey Marcus,Health & Wellness,"Health & Wellness; Fitness, Diet & Nutrition; Exercise & Fitness; Hygiene & Healthy Living; Relationships, Parenting & Personal Development; Personal Development; Personal Success; Religion & Spirituality",,11.1,4.7,10533,7.99,26.09,https://m.media-amazon.com/images/I/51fNCDGIgyL._SL500_.jpg,https://www.audible.com/pd/B079G683TB
